feature_group,n_features,cv_auc_mean,cv_auc_std,train_auc,n_samples
retrieval_only,10,0.5766666666666668,0.2082599870887882,0.734920634920635,51
query_only,8,0.47750000000000004,0.13823289526495974,0.6412698412698413,51
all_features,18,0.5349999999999999,0.1259850079264284,0.7825396825396825,51
