feature_group,n_features,cv_auc_mean,cv_auc_std,train_auc,n_samples
retrieval_only,10,0.6749875992063492,0.053829849818858376,0.7160601265822785,356
query_only,8,0.7272600446428571,0.043500238241903084,0.7481408227848102,356
all_features,18,0.7418712797619047,0.039336914440574806,0.781882911392405,356
